Name,ID
tryptamines (UBERON),CHEBI:27162
organic heterobicyclic compound (UBERON),CHEBI:27171
univalent carboacyl group (UBERON),CHEBI:27207
xanthophyll (UBERON),CHEBI:27325
zwitterion (UBERON),CHEBI:27369
zeaxanthin (UBERON),CHEBI:27547
aldosterone (UBERON),CHEBI:27584
carbon atom (UBERON),CHEBI:27594
starch (UBERON),CHEBI:28017
amylopectin (UBERON),CHEBI:28057
glycogen (UBERON),CHEBI:28087
amylose (UBERON),CHEBI:28102
alpha-carotene (UBERON),CHEBI:28425
carbamic acid (UBERON),CHEBI:28616
phosphorus atom (UBERON),CHEBI:28659
serotonin (UBERON),CHEBI:28790
beta-D-glucan (UBERON),CHEBI:28793
lutein (UBERON),CHEBI:28838
fatty acid anion (UBERON),CHEBI:28868
(R)-adrenaline (UBERON),CHEBI:28918
ammonium (UBERON),CHEBI:28938
amino sugar (UBERON),CHEBI:28963
dicarboxylic acid dianion (UBERON),CHEBI:28965
carbonic acid (UBERON),CHEBI:28976
keratan (UBERON),CHEBI:29057
carboxylic acid anion (UBERON),CHEBI:29067
sodium(1+) (UBERON),CHEBI:29101
potassium(1+) (UBERON),CHEBI:29103
calcium(2+) (UBERON),CHEBI:29108
azanide (UBERON),CHEBI:29337
hydridonitrate(2-) (UBERON),CHEBI:29340
oxonium (UBERON),CHEBI:29412
hydridodioxygen(1+) (UBERON),CHEBI:29793
L-glutamate(1-) (UBERON),CHEBI:29985
D-glutamate(1-) (UBERON),CHEBI:29986
glutamate(2-) (UBERON),CHEBI:29987
L-glutamate(2-) (UBERON),CHEBI:29988
D-glutamate(2-) (UBERON),CHEBI:29989
acetate (UBERON),CHEBI:30089
photon (UBERON),CHEBI:30212
monoatomic dication (UBERON),CHEBI:30412
gamma-aminobutyrate (UBERON),CHEBI:30566
formic acid (UBERON),CHEBI:30751
butyric acid (UBERON),CHEBI:30772
alcohol (UBERON),CHEBI:30879
bile acid (UBERON),CHEBI:3098
amine (UBERON),CHEBI:32952
amide (UBERON),CHEBI:32988
calcitonin (UBERON),CHEBI:3306
calcium carbonate (UBERON),CHEBI:3311
application (UBERON),CHEBI:33232
fundamental particle (UBERON),CHEBI:33233
monoatomic entity (UBERON),CHEBI:33238
oxoacid derivative (UBERON),CHEBI:33241
inorganic hydride (UBERON),CHEBI:33242
organic fundamental parent (UBERON),CHEBI:33245
inorganic group (UBERON),CHEBI:33246
organic group (UBERON),CHEBI:33247
organyl group (UBERON),CHEBI:33249
atom (UBERON),COB:0000011
monoatomic hydrogen (UBERON),CHEBI:33251
atomic nucleus (UBERON),CHEBI:33252
nucleon (UBERON),CHEBI:33253
primary amide (UBERON),CHEBI:33256
elemental molecular entity (UBERON),CHEBI:33259
elemental hydrogen (UBERON),CHEBI:33260
elemental oxygen (UBERON),CHEBI:33262
diatomic oxygen (UBERON),CHEBI:33263
polyatomic anion (UBERON),CHEBI:33273
molecular messenger (UBERON),CHEBI:33280
antimicrobial agent (UBERON),CHEBI:33281
antibacterial agent (UBERON),CHEBI:33282
nutrient (UBERON),CHEBI:33284
heteroorganic entity (UBERON),CHEBI:33285
agrochemical (UBERON),CHEBI:33286
fertilizer (UBERON),CHEBI:33287
food (UBERON),CHEBI:33290
diagnostic agent (UBERON),CHEBI:33295
