Class ID,Preferred Label,Synonyms,Definitions
RID10798,T2/T1 weighted,,
RID10799,diffusion weighted,,
RID10801,flexible coil,,
RID10803,multinuclear coil,,
RID10805,biopsy coil,,
RID10806,microscopy coil,,
RID10807,internally inserted coil,,
RID10808,endoluminal coil,,
RID10809,endorectal coil,,
RID10810,endovascular coil,,
RID10812,interventional coil,,
RID10813,magnetic resonance imaging coil,,
RID10815,radiofrequency coil,,
RID10820,transmit-receive radiofrequency coil,,
RID10821,primary transmit-receive coil,,
RID10824,transmit radiofrequency coil,,
RID10826,localized transmit coil,,
RID10830,receive radiofrequency coil,,
RID10831,localized receive coil,,
RID10835,functional magnetic resonance imaging coil,,
RID10838,tracker coil,,
RID10839,gradient coil,,
RID10840,whole body gradient coil,,
RID10841,restricted field of view body gradient coil,,
RID10843,localized gradient coil,,
RID10844,shim coil,,
RID10845,resistive shim coil,,
RID10846,superconducting shim coil,,
RID10847,non-linear shim coil,,
RID10849,linear shim coil,,
RID10850,linear resistive shim coil,,
RID10854,curved transducer,,
RID10855,linear transducer,,
RID10857,ultrasound transducer element configuration,,
RID10858,1 dimensional element configuration,,
RID10860,1.5 dimensional element configuration,,
RID10862,symmetric 2 dimensional element configuration,,
RID10864,asymmetric 2 dimensional element configuration,,
RID10866,annular element configuration,,
RID10867,ultrasound transducer,,
RID10868,mechanical transducer,,
RID10869,intravascular rotating crystal transducer,,
RID10870,intravascular rotating mirror transducer,,
RID10871,sector mechanical transducer,,
RID10872,sector annular array transducer,,
RID10873,endocavitary mechanical transducer,,
RID10874,endocavitary annular array transducer,,
RID10875,non-mechanical transducer,,
RID10876,sector phased array transducer,,
RID10877,linear array transducer,,
RID10879,intravascular phased array transducer,,
RID10880,endocavitary phased array transducer,,
RID10881,endocavitary curved linear array transducer,,
RID10882,endocavitary linear transducer,,
RID10883,vector phased array transducer,,
RID10884,single crystal transducer,,
RID10885,split crystal transducer,,
RID10886,combined transducer,,
RID10887,curved linear array transducer,,
RID10888,sector phased transducer,,
RID10889,endocavitary transducer,,
RID10890,endorectal transducer,,
RID10891,endovaginal transducer,,
RID10893,endovascular transducer,,
RID10895,transesophageal transducer,,
RID10896,endoscopic transducer,,
RID10897,curved array transducer,,
RID10898,phased array transducer,,
RID10900,mechanical sector transducer,,
RID10901,annular transducer,,
RID10903,A-mode ultrasound,,
RID10904,B-mode ultrasound,,
RID10907,C-mode ultrasound,,
RID10908,Doppler mode,,
RID10909,color Doppler mode,,
RID10910,power Doppler mode,,
RID10911,spectral Doppler mode,,
RID10913,harmonic ultrasound,,
RID10914,phase-cancellation harmonic ultrasound,,
RID10915,M-mode,,
RID10916,stimulated acoustic emission,,
RID10918,low intensity pulse,,
RID10919,high intensity pulse,,
RID10920,three dimensional ultrasound,,
RID10922,duplex ultrasound,,
RID10923,triplex ultrasound,,
RID10924,extended field of view ultrasound,,
RID10926,4 dimensional ultrasound,,
RID10928,cine loop,,
RID10930,volume imaging,,
RID10932,elastography,,
RID10933,strain imaging,,
RID10934,nuclear imaging attribute,,
RID10935,collimator,,
RID10936,pinhole collimator,,
RID10937,multihole collimator,,
RID10938,stationary multi-channel,,
RID10939,seven-pinhole collimator,,
RID10940,rotating slant hole collimator,,
RID10941,xray collimator,,
RID10942,nuclear collimator geometry,,
RID10943,parallel hole collimator,,
RID10944,low energy parallel hole collimator,,
RID10945,low energy parallel hole ultra-high resolution,,
RID10946,low energy parallel hole high-resolution,,
RID10947,low energy parallel hole general purpose,,
RID10948,low energy parallel hole high sensitivity,,
RID10949,medium energy parallel hole collimator,,
RID10950,medium energy parallel hole high-resolution,,
RID10951,medium energy parallel hole general purpose,,
RID10952,high energy parallel hole collimator,,
RID10953,ultra-high energy parallel hole collimator,,
RID10954,diverging collimator,,
RID10955,converging collimator,,
RID10956,ring collimator,,
RID10957,nuclear imaging acquisition rate,,
RID10958,dynamic nuclear imaging acquisition,,
RID10959,serial nuclear imaging acquisition,,
RID10960,static nuclear imaging acquisition,,
RID10961,gated nuclear imaging acquisition,,
RID10962,nuclear camera,,
RID10963,positron emission tomography camera,,
RID10965,gamma camera,,
RID10968,nuclear detector quantity,,
RID10969,single detector,,
RID10970,multi-detector,,
RID10971,nuclear solid state detector material,,
RID10972,cadmium telluride,,
RID10973,cadmium zinc telluride,,
RID10975,cadmium iodide,,
RID10976,nuclear detector geometry type,,
RID10977,planar nuclear detector,,
RID10978,full ring nuclear detector,,
RID10979,partial ring nuclear detector,,
RID10980,rotating 2D columns nuclear detector,,
RID10981,hybrid nuclear detector,,
RID10982,nuclear diode,,
RID10983,PIN diode,,
RID10984,avalanche diode,,
RID10985,silicon drift diode,,
RID10986,cross-sectional attenuation correction method,,
RID10987,CT attenuation correction,,
RID10988,MR attenuation correction,,
RID10989,radioactive source attenuation correction,,
RID10991,Gd scanning line source attenuation correction,,
RID10992,Ge rod source attenuation correction,,
RID10993,Cs rod source attenuation correction,,
